Key,Number of C/L Bugs w/ No Probs,Number of Releases,Number of Closed and Linked Bugs,Number of C/L Bugs with no AV,Percent of C/L Bugs with no AV,Number of C/L Bugs with First AV after Ticket Creation,Percent of C/L Bugs with First AV after Ticket Creation,Number of C/L Bugs with a Problem,Percent of C/L Bugs with a Problem
LENS,44,8,339,285,0.840707965,10,0.029498525,295,0.87020649
CARBONDATA,135,16,1045,891,0.852631579,19,0.018181818,910,0.870813397
APEXMALHAR,16,23,127,111,0.874015748,0,0,111,0.874015748
ROL,43,13,362,308,0.850828729,11,0.03038674,319,0.88121547
TEZ,151,22,1301,1123,0.863182168,27,0.020753267,1150,0.883935434
TRAFODION,79,4,738,630,0.853658537,29,0.039295393,659,0.89295393
GEODE,206,15,2207,1924,0.871771636,77,0.03488899,2001,0.906660625
LUCENENET,18,13,230,210,0.913043478,2,0.008695652,212,0.92173913
HARMONY,133,14,1700,1567,0.921764706,0,0,1567,0.921764706
TILES,12,8,165,153,0.927272727,0,0,153,0.927272727
CELIX,13,3,182,169,0.928571429,0,0,169,0.928571429
JAMES,29,8,424,394,0.929245283,1,0.002358491,395,0.931603774
FINERACT,7,2,108,101,0.935185185,0,0,101,0.935185185
ASTERIXDB,39,3,645,606,0.939534884,0,0,606,0.939534884
SYSTEMML,22,9,410,384,0.936585366,4,0.009756098,388,0.946341463
STR,6,6,121,115,0.950413223,0,0,115,0.950413223
SVN,1,90,23,22,0.956521739,0,0,22,0.956521739
USERGRID,4,4,94,87,0.925531915,3,0.031914894,90,0.957446809
HAWQ,14,4,483,466,0.964803313,3,0.00621118,469,0.971014493
STREAMS,3,7,116,113,0.974137931,0,0,113,0.974137931
CLK,5,2,210,205,0.976190476,0,0,205,0.976190476
MADLIB,1,33,87,86,0.988505747,0,0,86,0.988505747
DLAB,0,3,45,45,1,0,0,45,1
CLEREZZA,0,0,249,249,1,0,0,249,1
DTACLOUD,0,0,195,195,1,0,0,195,1
GERONIMO,0,45,268,267,0.996268657,1,0.003731343,268,1
INFRA,0,57,127,127,1,0,0,127,1
MNGSITE,0,0,91,91,1,0,0,91,1
WAVE,0,0,37,37,1,0,0,37,1
AXISCPP,0,0,0,0,NaN,0,NaN,0,NaN
